Бар,Пиво,Литры 2025,Литры 2026,Д Литры,Выручка 2025,Выручка 2026,Д Выручка,Наценка 2025,Наценка 2026,Маржа 2025,Маржа 2026,Д Маржа
Большой пр. В.О,дикий крест сухой,0.0,18.2,NEW,0,20324,NEW,-,204%,0,13614,NEW
Большой пр. В.О,коникс черри руби,0.0,37.5,NEW,0,37404,NEW,-,160%,0,22849,NEW
Большой пр. В.О,леруа иперман,14.8,0.0,-100.0%,40706,0,-100.0%,264%,-,28484,0,-100.0%
Большой пр. В.О,леруа хоммельбир драй хоппдт,13.0,0.0,-100.0%,34265,0,-100.0%,213%,-,23216,0,-100.0%
Большой пр. В.О,лефорт трипель,7.7,71.1,+819.5%,31180,128255,+311.3%,195%,181%,20996,81329,+287.3%
Большой пр. В.О,нишко лагер,0.0,50.4,NEW,0,51347,NEW,-,239%,0,36242,NEW
Большой пр. В.О,план б ковбой мальборо,0.0,32.1,NEW,0,30969,NEW,-,257%,0,22456,NEW
Большой пр. В.О,ригеле файнес урхелль,0.0,9.8,NEW,0,15260,NEW,-,172%,0,9772,NEW
Большой пр. В.О,степь и ветер традиционный,1.8,0.0,-100.0%,4262,0,-100.0%,248%,-,3033,0,-100.0%
Большой пр. В.О,фестхаус вайцен,0.0,49.3,NEW,0,46694,NEW,-,395%,0,37180,NEW
Большой пр. В.О,фестхаус доппельбок,0.0,24.0,NEW,0,27298,NEW,-,244%,0,18898,NEW
Большой пр. В.О,фестхаус хеллес,0.0,119.2,NEW,0,112046,NEW,-,391%,0,88895,NEW
Большой пр. В.О,*** ВСЕГО ***,193.4,737.8,+281.5%,428974,865442,+101.7%,228%,219%,298204,594077,+99.2%
Лиговский,brewlok ipa,0.0,7.3,NEW,0,7074,NEW,-,254%,0,5106,NEW
Лиговский,raspberry porter by paradox,0.0,13.8,NEW,0,15738,NEW,-,237%,0,10977,NEW
Лиговский,velka morava пятипитие,0.0,76.2,NEW,0,71278,NEW,-,266%,0,51589,NEW
Лиговский,барбе руби,0.0,39.0,NEW,0,71315,NEW,-,146%,0,42326,NEW
Лиговский,блек шип,0.0,168.2,NEW,0,134517,NEW,-,170%,0,84042,NEW
Лиговский,бюльви рустик полусухой,0.0,22.3,NEW,0,21010,NEW,-,223%,0,14376,NEW
Лиговский,коникс бланш ма шери,0.0,40.6,NEW,0,30299,NEW,-,257%,0,21786,NEW
