Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Большой пр. В.О,"4Brewers  Сигнал, ж/б. 0,450 .",Сауэр эли (Ф),Россия ,3,1560.0,670.3199999999999,1.3272,889.6800000000001,A,A,A,AAA
Большой пр. В.О,4Brewers | Качок-Кабачок | 450мл.,Гозе и овощные гозе (Ф),Россия,1,490.0,222.46,1.2026,267.54,C,A,C,CAC
Большой пр. В.О,"4Brewers Зависимость острая, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,1,550.0,211.68,1.5983,338.32,B,A,C,BAC
Большой пр. В.О,"4Brewers Зависимость, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,4,1920.0,803.6,1.3892,1116.4,A,A,A,AAA
Большой пр. В.О,"4Brewers Морковка на Стажировке, ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,3,956.0,652.6800000000001,0.4646999999999999,303.32,A,C,C,ACC
Большой пр. В.О,"4Brewers Рассол Дико Зол, ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,4,1960.0,889.84,1.2026,1070.16,A,A,A,AAA
Большой пр. В.О,"4Brewers Укропная Зависимость , ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,1,550.0,234.22,1.3482,315.78,B,A,C,BAC
Большой пр. В.О,"Atmosphere brew Психоделический Трип, ж/б. 0,450 .",Темные эли (Ф),Россия ,2,900.0,396.0,1.2727,504.0,B,A,B,BAB
Большой пр. В.О,"Big Village Twist Joy (berliner weisse) ж/б, 0,450",Сауэр эли (Ф),Россия,1,0.22,212.85,-0.999,-212.63,C,C,C,CCC
Большой пр. В.О,"Blue Moon Wit,светлое, 0,330 бут.",Бланш (Ф),Бельгия,2,880.0,374.42,1.3503,505.58,B,A,B,BAB
Большой пр. В.О,"Bombardier Premium British, 0,5 бут",Имперское (Ф),Англия,3,2250.0,776.97,1.8959,1473.03,A,A,A,AAA
Большой пр. В.О,"Brew division  Forever young, бут., 0,33",Имперское (Ф),Россия ,2,1360.0,616.0,1.2078,744.0,A,A,A,AAA
Большой пр. В.О,"Brewlok Кикимора, ж/б. 0,500 .",Темные эли (Ф),Россия,2,760.0,300.7,1.5274,459.3,B,A,B,BAB
Большой пр. В.О,"Brewlok Русалка ж/б, 0,450",Сауэр эли (Ф),Россия,2,782.0,362.78,1.1556,419.22,B,B,B,BBB
Большой пр. В.О,"Chibis brewery МАКРАМЕ  ж/б 0,450",Сауэр эли (Ф),Россия,1,620.0,280.0,1.2143,340.0,B,A,C,BAC
Большой пр. В.О,"Gas Brew Jupiter thrill, ж/б. 0,450 .",Сауэр эли (Ф),Россия ,1,470.0,210.0,1.2381,260.0,C,A,C,CAC
Большой пр. В.О,"Gas Brew Saltmelier: Naryan-Mar, ж/б, 0,500",Гозе и овощные гозе (Ф),Россия,1,429.74,210.0,1.0464,219.74,C,B,C,CBC
Большой пр. В.О,"Gravity Project Bananed Banana, бут. 0,5л",Сидры и пуаре ур 2 (Ф),Россия,3,1314.58,653.4000000000001,0.93885,661.18,A,C,A,ACA
Большой пр. В.О,"Konix Cappuccino Stout, ж/б. 0,500 .",Темные эли (Ф),Россия ,1,290.0,140.0,1.0714,150.0,C,B,C,CBC
Большой пр. В.О,"Konix The Night Gate, 0,375",Имперское (Ф),Россия,3,1770.0,795.0,1.2264,975.0,A,A,A,AAA
Большой пр. В.О,"Konix Орион, ж/б. 0,450.",Другие охмеленные (Ф),Россия ,4,1279.0,600.0,1.131675,679.0,A,B,A,ABA
Большой пр. В.О,Lapochka Pineapple + Lychee ж/б 0.33,Напитки б/а (Ф),Россия,8,1750.08,896.0,0.9133285714285714,854.0799999999999,A,C,A,ACA
Большой пр. В.О,"Lapochka peach+verbena, ж/б 0.33",Напитки б/а (Ф),Россия,4,870.1,448.0,0.9422,422.1,B,C,B,BCB
Большой пр. В.О,"Lapochka Мираж: малина, гранат, ромашка, ж/б 0.33",Напитки б/а (Ф),Россия,4,1160.0,448.0,1.5893,712.0,A,A,A,AAA
Большой пр. В.О,"Lapochka Попробуй технологии на вкус, ж/б 0.33",Напитки б/а (Ф),Россия,1,290.0,112.0,1.5893,178.0,C,A,C,CAC
Большой пр. В.О,Magic Mess | Это моё болото | 500мл.,Сауэр эли (Ф),Россия,1,530.0,239.12,1.2165,290.88,C,A,C,CAC
Большой пр. В.О,"MagicMess Сёрф , 0,500 ж/б",ИПА (Ф),Россия,1,490.0,226.38,1.1645,263.62,C,A,C,CAC
Большой пр. В.О,Newcastle 0.33 бут,"Карамельное, янтарное пиво 2 Ф",Англия,2,1180.0,465.6,1.5344,714.4,A,A,A,AAA
